topics,Include?
Agriculture land,1
Alcoholic drinks,1
Arm watch,1
Arm watches,1
Armchair,1
Backyard,1
Bathroom Privacy,1
Bathroom/Toilet,1
Bed,1
Bed kids,1
Bedroom,1
Bike,1
Books,1
Car,1
Car keys,1
Ceiling,1
Chickens,1
Cigarettes,1
Cleaning equipment,1
Computer,1
Contraceptives,1
Cooking pots,1
Cooking utensils,1
Cosmetics,1
Cups/mugs/glasses,1
Cutlery,1
Diapers (or baby-pants),1
Dish racks,1
Dish washing brush/cloth,1
Dish washing soap,1
Dishwasher,1
Drinking water,1
Everyday shoes,1
Fishes,1
Floor,1
Freezer,1
Front door,1
Frontdoor keys,1
Fruit trees,1
Fruits and vegetables,1
Glasses or lenses,1
Grains,1
Hair brush/comb,1
Hallway,1
Home,1
Idols,1
Jewelry,1
Kitchen,1
Kitchen sink,1
Knifes,1
Light source in kitchen,1
Light source in livingroom,1
Light sources,1
Living room,1
Lock on front door,1
Make up,1
Meat or fish,1
Medication,1
Menstruation pads / tampax,1
Moped/motorcycle,1
Mosquito protection,1
Music Equipment,1
Necklaces,1
Oven,1
Paper,1
Parking lot,1
Pen/pencils,1
Pet,1
Pet foods,1
Phone,1
Plate of food,1
Plates,1
Play area,1
Power outlet,1
Radio,1
Refrigerator,1
Roof,1
Rug,1
Salt,1
Shampoo,1
Shower,1
Smoke and steam exit,1
Soap for hands and body,1
Source of cool,1
Source of heat,1
Spices,1
Storage room,1
Stove/hob,1
Switch on/off,1
TV,1
Table with food,1
Teeth,1
Toilet,1
Toilet paper,1
Tools,1
Tooth paste,1
Toothbrush,1
Toys,1
Trash/Waste,1
Vegetable plot,1
Vegetables,1
Wall,1
Wall clock,1
Wall decoration,1
Wardrobe,1
Washing detergent,1
Waste dumps,1
Wheel barrow,1
Worship places,1
icons,1
Coats and jackets,0
Photo guide images,0
Sitting area,0
Social drink,0
Tattoos,0
Thing I dream about having,0
rehabilitation technology,0
Air cleaning equipments,0
Baby powder,0
Bad outdoor air obstructions,0
Baking sheets,0
Bills of money,0
Boat,0
Bowls,0
Bread - ready,0
Bread bowls,0
Bread ready,0
Cattle,0
Children room,0
Cleaning after toilet,0
Cleaning floors,0
Clothes,0
Coins,0
Cooking,0
Daylight ostructions,0
Dinner guests,0
Drinks,0
Drying,0
Earings,0
Electric wires,0
Elevators,0
Family,0
Family snapshots,0
Favorite home decorations,0
Favourite sports clubs,0
Fishing equipment,0
Foodstores,0
Get water,0
Goats,0
Guest bed,0
Hand back,0
Hand palm,0
Hand washing,0
Horse stables,0
Horses,0
Ingredients,0
Instrument,0
Latest furniture bought,0
Markets,0
Meat markets,0
Milk cows or bulls,0
Most loved item,0
Most loved toy,0
Nature sceneries,0
Newspapers,0
Next big thing you are planning to buy,0
Nicest shoes,0
Other transport,0
Piercings,0
Place where eating dinner,0
Place where serving guests,0
Playgrounds,0
Portraits,0
Shaving,0
Sheep,0
Skies Outside,0
Smog/Bad air breathing protection,0
Snack stores,0
Snacks,0
Soccer supporter items,0
Sources of Drinking Water,0
Street detail,0
Street view,0
Surroundings,0
Things I wish I had,0
Tractors,0
Vegetable markets,0
Ventilation,0
Wall inside,0
Washing clothes/cleaning,0
Water purifier solutions,0
Water sources,0
Water sources for doing Dishes,0
Wedding photos,0
Work area,0
Youth culture,0
bed_hq,0
replaced,0
transport of heavy things,0